filename,title,source_url,doc_type,language,date_published,geography,licence,notes
sample.txt,Sample Document,,report,en,,,public_domain,Replace with real corpus documents
distribution_and_chemical_speciation_of_arsenic_and_heavy_me_ed9d5e11.pdf,https://univ-tln.hal.science/hal-01097073,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Distribution and chemical speciation of arsenic and heavy metals in highly conta
ontologically_dirty_knots_the_production_of_numbers_after_th_7a43a77c.pdf,https://journals.sagepub.com/doi/pdf/10.1177/0967010620902008,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Ontologically dirty knots: The production of numbers after the Srebrenica genoci
dual_attribution_liability_of_the_netherlands_for_conduct_of_b333dffe.pdf,https://doi.org/10.2139/ssrn.1933719,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Dual Attribution: Liability of the Netherlands for Conduct of Dutchbat in Srebre
long_distance_mourning_and_synchronised_memories_in_a_global_f3bd4710.pdf,https://doi.org/10.1080/13602004.2015.1073956,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Long-distance Mourning and Synchronised Memories in a Global Context: Commemorat
lessons_learned_from_the_srebrenica_massacre_from_un_peaceke_c486d1de.pdf,https://link.springer.com/content/pdf/10.1007/s40802-015-0034-x.pdf,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Lessons Learned from the Srebrenica Massacre: From UN Peacekeeping Reform to Leg
queering_temporalities_of_international_criminal_justice_sre_907b1de1.pdf,http://hdl.handle.net/1959.4/unsworks_75451,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Queering temporalities of international criminal justice: Srebrenica remembrance
peacekeepers_facilitating_human_rights_violations_the_liabil_f8e0b37a.pdf,https://link.springer.com/content/pdf/10.1007/s40802-017-0101-6.pdf,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Peacekeepers Facilitating Human Rights Violations: The Liability of the Dutch St
srebrenica_on_joint_criminal_enterprise_aiding_and_abetting_e86307cb.pdf,https://link.springer.com/content/pdf/10.1007/s40802-015-0036-8.pdf,2026-06-01,open-access,Bosnia,"auto-fetched from openalex | Srebrenica: On Joint Criminal Enterprise, Aiding and Abetting and Command Respon"
remembering_visiting_and_placing_the_dead_law_authority_and_f35931ba.pdf,https://www.uowoajournals.org/ltc/article/id/419/download/pdf/,2026-06-01,open-access,Bosnia,"auto-fetched from openalex | Remembering, Visiting and Placing the Dead: Law, Authority and Genocide in Srebr"
neutral_or_national_point_of_view_a_comparison_of_srebrenica_e3d908eb.pdf,https://dare.uva.nl/personal/pure/en/publications/neutral-or-national-point-of-view-a-comparison-of-srebrenica-articles-across-wikipedias-language-versions(608ec3d8-fde6-4a0d-ba1c-948e1af97b22).html,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Neutral or National Point of View? A Comparison of Srebrenica Articles across Wi
hidden_in_full_sight_kinship_science_and_the_law_in_the_afte_32a61b8b.pdf,https://www.tandfonline.com/doi/pdf/10.1080/14636778.2014.946004?needAccess=true,2026-06-01,open-access,Bosnia,"auto-fetched from openalex | Hidden in full sight: kinship, science and the law in the aftermath of the Srebr"
genocide_and_the_ending_of_war_meaning_remembrance_and_denia_f4523725.pdf,https://doi.org/10.1007/s10611-017-9690-6,2026-06-01,open-access,Bosnia,"auto-fetched from openalex | Genocide and the ending of war: Meaning, remembrance and denial in Srebrenica, B"
failures_to_prevent_genocide_in_rwanda_1994_srebrenica_1995_eac7b81d.pdf,https://utpjournals.press/doi/pdf/10.3138/gsp.4.2.221?download=true,2026-06-01,open-access,Bosnia,"auto-fetched from openalex | Failures to Prevent Genocide in Rwanda (1994), Srebrenica (1995), and Darfur (si"
the_end_of_the_road_state_liability_for_acts_of_un_peacekeep_1e38b753.pdf,https://link.springer.com/content/pdf/10.1007/s40802-019-00149-z.pdf,2026-06-01,open-access,Bosnia,auto-fetched from openalex | The End of the Road: State Liability for Acts of UN Peacekeeping Contingents Aft
legal_mechanisms_to_establish_accountability_for_the_genocid_f7e84300.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1566782,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Legal Mechanisms to Establish Accountability for the Genocide in Srebrenica
the_road_to_srebrenica_automobility_and_belonging_in_a_post_6c893ee8.pdf,https://findanexpert.unimelb.edu.au/scholarlywork/1024519-the-road-to-srebrenica--automobility-and-belonging-in-a-post-socialist-war-milieu,2026-06-01,open-access,Bosnia,auto-fetched from openalex | The road to Srebrenica: Automobility and belonging in a post-socialist/war milie
celebrating_srebrenica_genocide_impunity_and_indoctrination_d08f30a1.pdf,https://www.tandfonline.com/doi/pdf/10.1080/14623528.2024.2308326?needAccess=true,2026-06-01,open-access,Bosnia,auto-fetched from openalex | “Celebrating” Srebrenica Genocide: Impunity and Indoctrination as Contributing F
the_state_of_the_netherlands_v_respondents_amp_stichting_mot_0ad944bb.pdf,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/608C90A2F7039B535747344B5920F2BD/S0002930020000366a.pdf/div-class-title-the-state-of-the-netherlands-v-respondents-and-stichting-mothers-of-srebrenica-div.pdf,2026-06-01,open-access,Bosnia,auto-fetched from openalex | The State of the Netherlands v. Respondents &amp; Stichting Mothers of Srebrenic
stories_from_no_land_the_women_of_srebrenica_speak_out_f95a6d62.pdf,https://link.springer.com/content/pdf/10.1007/s12142-007-0005-7.pdf,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Stories from No Land: The Women of Srebrenica Speak Out
what_remains_of_srebrenica_motherhood_transitional_justice_a_25c65652.pdf,https://vc.bridgew.edu/cgi/viewcontent.cgi?article=1268&context=jiws,2026-06-01,open-access,Bosnia,"auto-fetched from openalex | What Remains of Srebrenica? Motherhood, Transitional Justice and Yearning for th"
are_there_greener_ways_of_doing_transitional_justice_some_re_256564da.pdf,https://research.birmingham.ac.uk/en/publications/1f9335c2-391e-4434-8402-b107e56cedfd,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Are there ‘greener’ ways of doing transitional justice? Some reflections on Sreb
lost_in_srebrenica_responsibility_and_subjectivity_in_the_re_533e615c.pdf,http://hdl.handle.net/1871/32725,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Lost in Srebrenica: Responsibility and Subjectivity in the Reconstructions of a 
accountability_through_fact_finding_appraising_inquiry_in_th_f1f056f1.pdf,https://link.springer.com/content/pdf/10.1007/s40802-015-0035-9.pdf,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Accountability Through Fact-Finding: Appraising Inquiry in the Context of Srebre
ori_naser_srebrenica_svjedo_i_i_optu_uje_1992_1994_b3dd154e.pdf,https://archive.org/details/oric-naser-srebrenica-svjedoci-i-optuzuje-1992-1994,2026-06-01,open-access,Bosnia,"auto-fetched from internetarchive | Orić, Naser - Srebrenica svjedoči I optužuje 1992-1994."
srebrenica_military_narrative_operation_krivaja_95_49b10de7.pdf,https://archive.org/details/274491-srebrenica-military-narrative-operation-krivaja-95,2026-06-01,open-access,Bosnia,"auto-fetched from internetarchive | Srebrenica Military Narrative, Operation Krivaja 95"
report_of_the_secretary_general_pursuant_to_general_assembly_62d49cbf.pdf,https://archive.org/details/ReportOfTheSecretaryGeneralPursuantToGeneralAssemblyResolution5335TheFallOfSrebrenica,2026-06-01,open-access,Bosnia,auto-fetched from internetarchive | Report Of The Secretary General Pursuant To General Assembly Resolution 53/35 - 
srebrenica_10d54ab1.pdf,https://archive.org/details/srebrenica_505,2026-06-01,open-access,Bosnia,auto-fetched from internetarchive | srebrenica
what_it_s_like_to_chill_with_the_most_ruthless_men_in_the_wo_6ebd6054.pdf,https://doi.org/10.2139/ssrn.1393366,2026-06-01,open-access,Bosnia,auto-fetched from openalex | What it’s Like to Chill with the Most Ruthless Men in the World Ratko Mladic and
case_analysis_prosecutor_v_ratko_mladic_challenges_to_judici_a8e51a96.pdf,https://doi.org/10.2139/ssrn.6306658,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Case Analysis: Prosecutor V Ratko Mladic - Challenges to Judicial Impartiality
the_trial_of_ratko_mladic_at_the_international_criminal_trib_fabbbe14.pdf,http://eprints.lse.ac.uk/46168/1/blogs.lse.ac.uk-The_trial_of_Ratko_Mladic_at_the_International_Criminal_Tribunal_for_the_former_Yugoslavia_shows_once.pdf,2026-06-01,open-access,Bosnia,auto-fetched from openalex | The trial of Ratko Mladic at the International Criminal Tribunal for the former 
the_mladic_and_karadzic_rule_61_hearing_1e2c0107.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2660477,2026-06-01,open-access,Bosnia,auto-fetched from openalex | The Mladic and Karadzic Rule 61 Hearing
commentaire_du_jugement_rendu_par_la_chambre_de_premi_re_ins_2d5bac0e.pdf,http://journals.openedition.org/revdh/pdf/3827,2026-06-01,open-access,Bosnia,auto-fetched from openalex | Commentaire du jugement rendu par la Chambre de première instance du TPIY dans l
birn_knjiga_o_ratku_mladicu_od_generala_do_haskog_optuzenika_4c578819.pdf,https://archive.org/details/BIRNKnjigaORatkuMladicuOdGeneralaDoHaskogOptuzenika,2026-06-01,open-access,Bosnia,auto-fetched from internetarchive | BIRN Knjiga O Ratku Mladicu Od Generala Do Haskog Optuzenika
